user,address,reviews,likes
Anastasia9992015,"Vladivostok, Russia",149,68.0
rkim511,"Kuala Lumpur, Malaysia",142,136.0
Anncici,,468,32.0
cutiedoggy13,Hong Kong,337,229.0
Dan L,"Bunbury, Australia",2588,779.0
114sandyr,"Hong Kong, China",137,55.0
Andrea A,,214,64.0
cj0823,,18,7.0
Dan A,"Denver, Colorado",45,26.0
hyunkkk,South Korea,345,22.0
ken_stearns,"Bangkok, Thailand",108,55.0
Safemach,Shanghai,245,128.0
Julien G,"Phuket, Thailand",39,26.0
bobwK5197LB,,37,17.0
Andrew V,,1,
Dreamer726639,"Hong Kong, China",1,3.0
stefanobY1151RR,"Brooklyn, New York",113,35.0
jayniferb,"Hong Kong, China",1,1.0
Joseph-in-NYC,"New York City, New York",32,28.0
Applelover826,,1,
mikemoulds,"Beverley, United Kingdom",216,184.0
samcH7426AP,Hong Kong,5,
Christina R,,1,
tjjones425,"San Jose, California",6,6.0
Josephb8585,"Sunny Isles Beach, Florida",93,40.0
Antony S,"Hong Kong, China",19,5.0
mrstsh,hk,31,10.0
HeyJu2014,"Hong Kong, China",1,2.0
Luke A,"New York City, New York",10,5.0
clementc516,"Hong Kong, China",7,2.0
zed1313,United Kingdom,186,82.0
1foodielove,"Side, Turkey",21,21.0
Wendy N,,3,
Liupkiu,,2,2.0
ldunnreier,"Jacksonville, Florida",42,17.0
Colm O,,4,
thegreatchris,"Munich, Germany",34,16.0
WeeRobbo_12,"Hong Kong, China",10,6.0
512aartig,"Hong Kong, China",2,
MuneerH,"Dhaka City, Bangladesh",68,57.0
jjangPLDT,,1,
broy7,Mississauga,220,50.0
ChoyN3,,1,3.0
Vonikazou,"Hong Kong, China",10,5.0
LoB911,,5,5.0
Danny L,,3,2.0
sonnyboy11,Los Angeles,6,3.0
Marco S,,2,
Megan S,,1,3.0
scottng15,Nottingham,173,89.0
tlk2019,"Hong Kong, China",1,
Cupcake_8932,"Hong Kong, China",4,1.0
Effie2019,,5,1.0
michellelalam,,2,
ChicagoFamily60614,"Chicago, Illinois",21,14.0
zubux,"Franklin, Tennessee",51,6.0
IndonesianDream,"Jakarta, Indonesia",26,2.0
Celio K,"Hod Hasharon, Israel",34,15.0
vtc950,"Hong Kong, China",99,23.0
jackjones71277,"Hong Kong, China",2,
TorbenA956,"Hellerup, Denmark",215,104.0
ausdolly2014,"Perth, Australia",37,11.0
TravelsinTranslation,"Chicago, Illinois",53,37.0
redmini7,"Hong Kong, China",55,20.0
pondie68,"Richmond, United Kingdom",29,20.0
GrahamL-S,"Bath, United Kingdom",477,160.0
Rosscodad,"Northamptonshire, United Kingdom",67,15.0
Sandie02,"Shenzhen, China",237,97.0
Greg Q,,35,9.0
NeilPurdy,"Dublin, Ireland",8,11.0
mysticpenguin,Belgium,3,1.0
silvak2013,,28,19.0
TranFamilyNorway,"Oslo, Norway",379,229.0
daddywarbucks1,,16,20.0
zzhuizi92,"Singapore, Singapore",7,2.0
sarahmc69,"London, United Kingdom",84,21.0
Gordo,"Elmhurst, Illinois",199,172.0
skidogs,Arizona,37,5.0
jensman58,Cologne,28,25.0
Selma2014,"Sousse, Tunisia",5,4.0
snowee b,manila,31,23.0
Taglio87,"Sardinia, Italy",22,20.0
sampetrus24,"Hong Kong, China",7,2.0
ChrisCarter1978,"Boston, Massachusetts",27,12.0
kaytaro,osaka,95,86.0
S4213YDkevinc,"Guangzhou, China",11,2.0
Tongil,Sydney,37,31.0
DannyB70,"England, United Kingdom",469,280.0
631Vinnie75,"Long Island, New York",9,
mc_nac,"Woluwe-Saint-Lambert, Belgium",99,47.0
tmp025,"Manchester, United Kingdom",58,33.0
Cat122011,"Hamburg, Germany",170,52.0
Reisefuchs61,"Heinsberg, Germany",96,18.0
695maxm,"Hong Kong, China",5,4.0
Umberto M,"Reggio Emilia, Italy",28,31.0
jonasr727,"Zurich, Switzerland",92,35.0
simonf815,"Hong Kong, China",4,
Richansa,"Wallingford, United Kingdom",14,12.0
Brittaperry,"Singapore, Singapore",8,3.0
BJRACT,"Washington DC, District of Columbia",270,186.0
