id_outlet,country,name,address,reviews_nr
133789486375935476627406684831438871941,NL,De IJsmaker Witte de Withstraat,"Witte De Withstraat 7a, 3012",17
49902879992629236407831306704091856908,NL,Dominos,"Kamperfoelieweg 40, 1032 HP Amsterdam, Netherlands",52
283294963221695236170763356367199286448,NL,Sea Palace Restaurant,"Oosterdokskade 8, 1011 AE Amsterdam, Netherlands",145
327257783106451358954447114691995086169,NL,Subway,"Vrijstraat 23, 5611 AT Eindhoven, Netherlands",63
314032653973337478450144404494058558532,NL,Sushi De Luxe,"Cinemadreef 236, 1325 ER Almere, Netherlands",15
321365545283542343578744113965592435892,NL,THE BAB,"Camperstraat 36, 1091 AG Amsterdam, Netherlands",200
127048456998651170056736953480857736328,NL,Fresh2U,Sweder van Zuylenweg 4 Utrecht,13
165997420050571885484241233202539084755,NL,Mac el Aziz Grillroom,Goudse Rijweg 48 Rotterdam,22
33417390446481492604604940052101658935,NL,Hapsalon Kapsalon,Lange Smeestraat 26 Utrecht,15
47002041566522905200636609827711769647,NL,Roti Boer,"Ondiep-Zuidzijde 2, 3551 BW Utrecht, Netherlands",31
91943224646241056385634118768695280437,NL,Cafetaria & Pizzeria Straatweg,"Amsterdamsestraatweg 118, 3513 AL Utrecht, Netherlands",18
252651641282346579703164237318735593936,NL,Ambala Tandoori,"Vierambachtsstraat 147A, 3022 AL Rotterdam, Netherlands",47
63562601146806588372772564799565949887,NL,Burger company,Veldhovenring 2 Tilburg,48
297652528638499107975531520877353140589,NL,Op Saj,"Steenweg 1, 3511 JK Utrecht, Netherlands",14
54510679703893206233253810796548733693,NL,SLA,"Kruisweg 68B, 2011 LE Haarlem, Netherlands",36
190196191040961587160782732334856784888,NL,China Catering Eindhoven,"Jan Heynslaan 149, 5622 KL Eindhoven, Netherlands",10
147604685768551105643067051820075670330,NL,La Zoccola del Pacioccone,"Nieuwe Nieuwstraat 22HS, 1012 NH Amsterdam, Netherlands",88
35881379350896673743352998569627830528,NL,Van Speyk,"Spuistraat 3a, 1012 SP Amsterdam, Netherlands",22
67256766394334269099759147717171913478,NL,Favorite Chicken & Ribs,"Oudezijds Voorburgwal 64, 1012 GE Amsterdam, Netherlands",28
174781837695277235773315022668535172434,NL,Famous Burger,"Nieuwezijds Voorburgwal 87, 1012 RE Amsterdam, Netherlands",14
