user,address,reviews_nr,likes
Anastasia9992015,"Vladivostok, Russia",149,68
rkim511,"Kuala Lumpur, Malaysia",142,136
Anncici,,468,32
cutiedoggy13,Hong Kong,337,229
Dan L,"Bunbury, Australia",2588,779
114sandyr,"Hong Kong, China",137,55
Andrea A,,214,64
cj0823,,18,7
Dan A,"Denver, Colorado",45,26
hyunkkk,South Korea,345,22
ken_stearns,"Bangkok, Thailand",108,55
Safemach,Shanghai,245,128
Julien G,"Phuket, Thailand",39,26
bobwK5197LB,,37,17
Andrew V,,1,0
Dreamer726639,"Hong Kong, China",1,3
stefanobY1151RR,"Brooklyn, New York",113,35
jayniferb,"Hong Kong, China",1,1
Joseph-in-NYC,"New York City, New York",32,28
Applelover826,,1,0
mikemoulds,"Beverley, United Kingdom",216,184
samcH7426AP,Hong Kong,5,0
Christina R,,1,0
tjjones425,"San Jose, California",6,6
Josephb8585,"Sunny Isles Beach, Florida",93,40
Antony S,"Hong Kong, China",19,5
mrstsh,hk,31,10
HeyJu2014,"Hong Kong, China",1,2
Luke A,"New York City, New York",10,5
clementc516,"Hong Kong, China",7,2
zed1313,United Kingdom,186,82
1foodielove,"Side, Turkey",21,21
Wendy N,,3,0
Liupkiu,,2,2
ldunnreier,"Jacksonville, Florida",42,17
Colm O,,4,0
thegreatchris,"Munich, Germany",34,16
WeeRobbo_12,"Hong Kong, China",10,6
512aartig,"Hong Kong, China",2,0
MuneerH,"Dhaka City, Bangladesh",68,57
jjangPLDT,,1,0
broy7,Mississauga,220,50
ChoyN3,,1,3
Vonikazou,"Hong Kong, China",10,5
LoB911,,5,5
Danny L,,3,2
sonnyboy11,Los Angeles,6,3
Marco S,,2,0
Megan S,,1,3
scottng15,Nottingham,173,89
tlk2019,"Hong Kong, China",1,0
Cupcake_8932,"Hong Kong, China",4,1
Effie2019,,5,1
michellelalam,,2,0
ChicagoFamily60614,"Chicago, Illinois",21,14
zubux,"Franklin, Tennessee",51,6
IndonesianDream,"Jakarta, Indonesia",26,2
Celio K,"Hod Hasharon, Israel",34,15
vtc950,"Hong Kong, China",99,23
jackjones71277,"Hong Kong, China",2,0
TorbenA956,"Hellerup, Denmark",215,104
ausdolly2014,"Perth, Australia",37,11
TravelsinTranslation,"Chicago, Illinois",53,37
redmini7,"Hong Kong, China",55,20
pondie68,"Richmond, United Kingdom",29,20
GrahamL-S,"Bath, United Kingdom",477,160
Rosscodad,"Northamptonshire, United Kingdom",67,15
Sandie02,"Shenzhen, China",237,97
Greg Q,,35,9
NeilPurdy,"Dublin, Ireland",8,11
mysticpenguin,Belgium,3,1
silvak2013,,28,19
TranFamilyNorway,"Oslo, Norway",379,229
daddywarbucks1,,16,20
zzhuizi92,"Singapore, Singapore",7,2
sarahmc69,"London, United Kingdom",84,21
Gordo,"Elmhurst, Illinois",199,172
skidogs,Arizona,37,5
jensman58,Cologne,28,25
Selma2014,"Sousse, Tunisia",5,4
snowee b,manila,31,23
Taglio87,"Sardinia, Italy",22,20
sampetrus24,"Hong Kong, China",7,2
ChrisCarter1978,"Boston, Massachusetts",27,12
kaytaro,osaka,95,86
S4213YDkevinc,"Guangzhou, China",11,2
Tongil,Sydney,37,31
DannyB70,"England, United Kingdom",469,280
631Vinnie75,"Long Island, New York",9,0
mc_nac,"Woluwe-Saint-Lambert, Belgium",99,47
tmp025,"Manchester, United Kingdom",58,33
Cat122011,"Hamburg, Germany",170,52
Reisefuchs61,"Heinsberg, Germany",96,18
695maxm,"Hong Kong, China",5,4
Umberto M,"Reggio Emilia, Italy",28,31
jonasr727,"Zurich, Switzerland",92,35
simonf815,"Hong Kong, China",4,0
Richansa,"Wallingford, United Kingdom",14,12
Brittaperry,"Singapore, Singapore",8,3
BJRACT,"Washington DC, District of Columbia",270,186
